District,DistrictABV,Matrix,SDImax,RD,QMD,TPA,BAPA,CordsPerAcre,VBAR,Acres
Ashland East,AE,CH2B-N,352.75,0.4375,6.567104516,545.3120798,117.6744808,23.51934308,0.19986783,49.42329994
Ashland East,AE,CH3A-N,406,0.685,7.933386354,592.9046088,161.0609447,29.79769543,0.185008821,141.412627
Ashland East,AE,CH3B-N,405,0.41875,9.838869786,441.3703998,124.5000259,27.35056827,0.219683234,238.1193345
Ashland East,AE,CH3C-N,361,0.403333333,9.149570975,235.2463606,66.64977112,11.77737418,0.176705396,653.046665
Ashland East,AE,CH3D-N,326.1764706,0.304705882,8.197239737,381.3293883,73.83486009,11.95271254,0.161884407,1598.379041
Ashland East,AE,CH4A-N,407,0.548,11.07979246,333.2088363,181.2353681,39.92997277,0.220321084,95.73915723
Ashland East,AE,CH4B-N,402.1666667,0.66,9.358836841,389.6697621,174.7600613,39.14658509,0.224001896,557.2785573
Ashland East,AE,CH4C-N,364.0588235,0.432941176,9.086291002,291.597323,108.2419106,23.05062294,0.212954694,369.4227161
Ashland East,AE,CH4D-N,349.75,0.455,11.00253253,434.5172287,119.5046545,24.09281639,0.201605674,240.3684832
Ashland East,AE,CS1C-N,333.9230769,0.296666667,9.474919277,395.2277245,99.86348976,16.18624531,0.162083714,115.6609989
Ashland East,AE,CS2B-N,334.4,0.43,8.753855898,633.6788713,139.8316861,22.47644731,0.1607393,314.8952353
Ashland East,AE,CS3A-N,390.625,0.448571429,10.26175794,435.793153,144.322275,27.54528693,0.190859567,2330.909663
Ashland East,AE,CS3B-N,408.4444444,0.377222222,10.35914492,323.0204905,120.5566823,24.39078639,0.202317996,2048.470357
Ashland East,AE,CS3C-N,352.4666667,0.484814815,10.20630511,553.261449,84.0632679,8.956639286,0.106546409,4036.410169
Ashland East,AE,CS3D-N,347.1111111,0.377692308,8.541949091,262.6256021,75.36180787,11.84909419,0.157229431,6663.490454
Ashland East,AE,CS4A-N,370.92,0.6352,10.35086338,440.317713,217.9913391,55.95378943,0.256678956,1831.077848
Ashland East,AE,CS4B-N,404.3255814,0.632790698,10.47811695,489.0281264,199.4983377,42.44864762,0.212776949,6080.400325
Ashland East,AE,CS4C-N,387.0625,0.398235294,9.440496623,351.7666662,112.3240965,21.6169279,0.192451385,1176.854133
Ashland East,AE,CS4D-N,371.36,0.588,8.918844105,509.8811291,115.8581481,19.91953235,0.171930353,1865.523008
Ashland East,AE,H1A-N,305.4545455,0.603333333,6.022256006,457.847966,73.76025397,8.276457061,0.112207546,90.08245704
Ashland East,AE,H1B-N,282.8571429,0.186666667,5.700000127,71.11777713,9.770580493,1.157613575,0.118479509,1584.125428
Ashland East,AE,H1C-N,332.2857143,0.438,6.8710581,281.9720057,60.78147165,8.941326291,0.147106117,1243.92621
Ashland East,AE,H1D-N,243,0.02,25.44999981,1.888271602,7.227284868,2.764651776,0.382529792,846.2597266
Ashland East,AE,H2A-N,335.6538462,0.49,7.433195416,580.7368691,95.06951728,12.53767076,0.131878978,2435.309868
Ashland East,AE,H2B-N,354.1111111,0.286521739,9.524989573,368.1615877,66.30813741,10.52599621,0.158743657,2761.879679
Ashland East,AE,H2C-N,296.125,0.302,10.5875785,277.6289706,59.47847141,11.20048436,0.188311571,5280.167714
Ashland East,AE,H2D-N,273.4285714,0.18875,7.574573159,133.6812054,25.11131722,3.678929441,0.146504837,141.0757163
Ashland East,AE,H3A-N,354.1290323,0.4,9.083978047,294.053591,100.2382268,23.6959434,0.236396275,3911.153084
Ashland East,AE,H3B-N,337.4074074,0.390784314,9.332375295,354.7932275,83.31135043,16.89924794,0.202844485,6296.095896
Ashland East,AE,H3C-N,328.1507937,0.378125,9.551211497,267.0458039,65.58225919,12.33997456,0.188160254,19463.32859
Ashland East,AE,H3D-N,328.3818182,0.383,8.856624099,294.6333771,66.959892,12.95553551,0.193482025,17206.33331
Ashland East,AE,H4A-N,364.06,0.4376,11.09878576,231.7650568,102.4769158,28.10415443,0.274248636,4902.320517
Ashland East,AE,H4B-N,354.8305085,0.429310345,11.05711426,249.2734707,89.35603196,21.01024748,0.235129594,13649.48132
Ashland East,AE,H4C-N,318.5454545,0.369693878,10.19112767,223.6051764,66.65116195,15.50654261,0.232652247,11056.49338
Ashland East,AE,H4D-N,352,0.465238095,10.04422428,376.2910207,78.76290168,13.73690812,0.174408355,11448.53075
Ashland East,AE,HS1A-N,343,0.236666667,7.396387077,428.9726769,76.47831313,12.57294452,0.164398821,283.0324304
Ashland East,AE,HS1C-N,326.2,0.045,15.98269989,3.863248869,5.949071424,1.981442126,0.333067463,806.5475149
Ashland East,AE,HS1D-N,338.7777778,0.158,8.059116333,90.56701179,20.74838399,4.310407153,0.207746645,226.6914492
Ashland East,AE,HS2A-N,357.6,0.393076923,9.225524593,303.7636359,81.76828049,15.87380047,0.194131519,1361.02365
Ashland East,AE,HS2B-N,332.5,0.345714286,7.930250284,419.7628746,74.04257855,11.53387054,0.155773486,1965.498905
Ashland East,AE,HS2C-N,311.1176471,0.294,9.978302127,169.4501829,45.519111,8.548009651,0.187789468,2373.151712
Ashland East,AE,HS2D-N,333,0.146666667,9.816784498,357.8243701,56.93972454,6.529942423,0.114681665,18.48656209
Ashland East,AE,HS3A-N,378.2222222,0.383529412,10.15612335,331.7104905,105.0996234,24.43645043,0.232507497,2188.965144
Ashland East,AE,HS3B-N,364.1764706,0.379032258,9.360817238,235.6222171,75.11461601,17.44556665,0.232252624,3930.212631
Ashland East,AE,HS3C-N,348.7978723,0.553604651,8.736654934,428.6951225,96.45466801,16.12924376,0.167220976,13117.25221
Ashland East,AE,HS3D-N,335.1272727,0.369010989,9.046231043,351.5808371,67.46844431,10.17161583,0.150761084,8770.606225
Ashland East,AE,HS4A-N,395.4444444,0.529142857,10.85094868,284.9342446,134.5459691,34.83854519,0.258934143,2611.888793
Ashland East,AE,HS4B-N,392.4366197,0.45,11.22888679,250.5242663,103.1509916,26.28843703,0.254853944,6688.287079
Ashland East,AE,HS4C-N,374.8653846,0.454255319,10.34433363,322.5109423,97.58672625,22.2056212,0.227547557,6004.408578
Ashland East,AE,HS4D-N,330.1929825,0.502156863,9.458224986,374.9095769,79.87409858,14.54630711,0.182115446,5194.963243
Ashland East,AE,S1A-N,342.5,0.468,7.342801919,486.302531,76.56658639,9.215182492,0.120355143,999.6347931
Ashland East,AE,S1A-P,347.2333333,0.302,6.897266911,449.4893126,83.45213287,12.67916116,0.151933339,493.1721563
Ashland East,AE,S1B-N,345.7407407,0.283684211,8.619258071,299.9721653,51.90411719,7.466313498,0.143848194,3552.433796
Ashland East,AE,S1B-P,313.1764706,0.213076923,7.251567738,294.9539313,52.77220937,7.26574582,0.137681289,3833.895834
Ashland East,AE,S1C-N,371.625,0.264,8.443475648,142.9433806,36.02117231,7.96749755,0.221189291,1832.796011
Ashland East,AE,S1D-N,289.2857143,0.1025,7.552581549,46.80906769,16.93230259,3.51431079,0.207550673,915.4787919
Ashland East,AE,S1D-P,348,0.316666667,12.33229139,373.2865588,60.28519042,6.237546296,0.103467307,690.9481869
Ashland East,AE,S2A-N,353.05,0.673939394,7.334129217,757.89375,108.2106307,12.59243424,0.116369659,2390.605339
Ashland East,AE,S2A-P,317,0.58,6.055472646,839.7183825,129.4226947,17.106383,0.132174524,614.4017039
Ashland East,AE,S2B-N,339.0909091,0.51875,7.482235749,578.0988285,94.28087221,12.43315858,0.131873606,2325.3261
Ashland East,AE,S2B-P,365.9230769,0.487307692,6.721905665,693.6478994,125.3747538,18.26916648,0.145716469,903.9500334
Ashland East,AE,S2C-N,320,0.468333333,9.831051432,223.1885765,44.8131855,7.15663058,0.159699216,3096.736366
Ashland East,AE,S2C-P,342.5,0.438,6.060229207,748.2965384,114.1852157,12.4780298,0.109278856,1344.277894
Ashland East,AE,S3A-N,378.3030303,0.57,8.431821293,501.7794902,145.0432877,29.8946886,0.206108735,3718.374757
Ashland East,AE,S3A-P,379,0.497142857,6.812133647,778.7085683,142.9281778,20.7909556,0.145464358,35.32586417
Ashland East,AE,S3B-N,371.3170732,0.5225,9.458845002,336.2153664,113.5095955,26.66229587,0.234890238,3584.002901
Ashland East,AE,S3B-P,362.4,0.592,6.551287583,568.5209971,134.420761,24.05715516,0.178969044,804.6248637
Ashland East,AE,S3C-N,343.0769231,0.350810811,7.997378572,350.4961171,103.2095512,20.62236203,0.199810597,5755.777563
Ashland East,AE,S3C-P,360.8947368,0.486176471,5.989402716,783.3131627,129.6080184,19.18437456,0.148018424,1563.513433
Ashland East,AE,S3D-N,353.1935484,0.489423077,7.661272356,427.5513588,81.74038307,12.28381345,0.150278393,6938.012629
Ashland East,AE,S3D-P,342.9285714,0.499285714,6.596046316,610.0484388,117.963508,19.50229294,0.165324796,851.2139203
Ashland East,AE,S4A-N,383.9285714,0.630714286,9.224167133,396.19077,159.2550201,40.82876895,0.256373513,5934.948336
Ashland East,AE,S4B-N,403.3968254,0.527619048,11.31517613,308.3499519,156.3419544,36.07107028,0.23071907,10215.35566
Ashland East,AE,S4B-P,374,0.843333333,7.017500732,765.1936278,122.6053261,18.87431675,0.153943694,54.7977079
Ashland East,AE,S4C-N,351.3142857,0.479393939,10.43153833,321.9144054,90.66695792,18.88498351,0.20828959,4291.600931
Ashland East,AE,S4D-N,333.3009709,0.363846154,9.321805032,323.1551947,73.53739543,13.04780409,0.177430871,10413.91287
Ashland East,AE,S4D-P,408,0.545,8.285014808,479.1781605,152.7019607,32.41041851,0.21224625,476.4084662
Ashland East,AE,SH1A-N,342.1428571,0.601666667,6.95628176,670.9949249,116.9023907,16.67403804,0.142632139,202.1422153
Ashland East,AE,SH1A-P,313,0.372,5.843581897,556.4010556,83.72866814,8.718729675,0.104130758,44.30428784
Ashland East,AE,SH1B-N,323.0769231,0.226666667,11.64942222,206.7692567,47.48813202,6.938533996,0.146110906,653.9909657
Ashland East,AE,SH1C-N,347.7647059,0.19,8.21673591,152.7398935,37.08373216,5.637815822,0.152029353,909.3800299
Ashland East,AE,SH2A-N,369.7894737,0.693529412,7.384880446,690.9922727,106.1062163,12.04668817,0.113534236,2119.100868
Ashland East,AE,SH2B-N,376.6428571,0.4325,8.466099326,401.8494197,82.6414071,14.29679053,0.172997908,2085.18523
Ashland East,AE,SH2C-N,302.9230769,0.262727273,8.062663415,349.3037883,53.3624338,4.734936806,0.08873165,1870.124526
Ashland East,AE,SH2C-P,331,0.1775,12.37830243,121.6309929,36.80012068,9.090344578,0.247019423,176.8337903
Ashland East,AE,SH3A-N,335.6,0.313,12.32616591,180.9437754,67.64474282,14.64211795,0.216456111,1502.278791
Ashland East,AE,SH3B-N,394.65625,0.453548387,10.55772107,338.0858574,103.1723906,24.44906139,0.236972908,2290.158139
Ashland East,AE,SH3C-N,348.1875,0.316666667,9.752895522,223.9648805,83.93890904,19.52326529,0.232588981,4933.297699
Ashland East,AE,SH3C-P,342,0.572,5.902564007,834.4608123,158.2663989,25.22103665,0.159358125,177.033437
Ashland East,AE,SH3D-N,358.36,0.526590909,8.860557216,373.0430566,94.53567363,18.18406388,0.192351344,5274.774873
Ashland East,AE,SH3D-P,334.4545455,0.52,6.833631567,582.3211784,112.9112966,19.09828081,0.16914411,351.3213823
Ashland East,AE,SH4A-N,387.8636364,0.584285714,9.998366735,368.8232935,150.1532003,38.41087644,0.255811241,1970.11659
Ashland East,AE,SH4B-N,384.7555556,0.504222222,10.54464058,317.9671413,119.2275088,28.66345424,0.240409739,4247.83049
Ashland East,AE,SH4C-N,374.4,0.416285714,9.483743013,370.3041753,101.5958487,22.61667428,0.222614158,3052.81589
Ashland East,AE,SH4D-N,313.6764706,0.364285714,9.797856884,250.1443522,55.90980951,10.58964429,0.189405837,3302.976383
Ashland East,AE,SH4D-P,408.5,0.423333333,7.114002379,396.9981866,106.0840248,23.92195494,0.225500069,113.9497957
Ashland West,AW,CH3B-N,378,0.526666667,12.96684933,326.5892139,110.1827709,20.97159788,0.190334639,101.9372028
Ashland West,AW,CH3C-N,385,0.435,8.257805734,426.4066235,84.34298264,9.924226551,0.117665113,325.5797044
Ashland West,AW,CH3D-N,380,0.291,9.196087624,275.8146531,71.13428925,13.56220283,0.190656334,428.8320318
Ashland West,AW,CH4D-N,360,0.373333333,7.279955205,486.7404831,71.02261946,8.768305541,0.123457929,284.153321
Ashland West,AW,CS1B-N,329.5,0.176666667,7.449078782,244.4225447,36.57562085,4.102155875,0.112155468,62.81750818
Ashland West,AW,CS2C-N,354.5714286,0.251666667,9.134607221,141.2605597,55.49148627,12.64568104,0.227885066,496.6090451
Ashland West,AW,CS3A-N,400,0.533333333,7.781019482,666.7236952,166.0435996,29.80142335,0.179479507,865.9441815
Ashland West,AW,CS3B-N,349.6666667,0.62,7.628208071,544.7104582,122.6398814,22.42180556,0.18282638,842.1937453
Ashland West,AW,CS3C-N,368.5555556,0.3425,9.7611352,448.9668682,98.42366031,13.84779767,0.140695821,1567.343451
Ashland West,AW,CS3D-N,370,0.382173913,10.31154793,362.1628309,82.7296336,13.61493614,0.164571455,2053.145975
Ashland West,AW,CS4A-N,345,0.623333333,9.116198231,455.056355,201.7779185,44.5830376,0.220951023,190.5030314
Ashland West,AW,CS4B-N,416,0.548181818,11.29208686,322.3210165,195.6271366,45.50437793,0.232607698,1849.801495
Ashland West,AW,CS4C-N,401.2666667,0.384,10.77364117,207.9688626,86.21362157,15.54492059,0.180307013,797.3345961
Ashland West,AW,CS4D-N,303.826087,0.524666667,9.572501069,495.1284966,72.73828828,5.442647294,0.074825067,1094.122863
Ashland West,AW,H1B-N,244,0.11,5.200000048,27.15313815,5.331355757,0.902489245,0.169279502,690.9953986
Ashland West,AW,H2A-N,338.826087,0.44,7.295845185,417.5585196,95.11567032,16.66024001,0.175157679,2091.318411
Ashland West,AW,H2B-N,316.7142857,0.37,6.540212299,312.8103029,63.16485295,11.09700371,0.175683203,2128.015479
Ashland West,AW,H2C-N,289.7,0.287368421,8.520429646,375.081774,72.86369633,12.11880855,0.166321627,2970.705246
Ashland West,AW,H3A-N,319.0666667,0.372142857,7.876341681,325.414287,81.08461614,15.28172243,0.18846636,1828.046255
Ashland West,AW,H3B-N,359.3333333,0.445,8.627583957,294.4575648,92.08341436,19.5934598,0.212779467,2979.572694
Ashland West,AW,H3C-N,335.7758621,0.334285714,8.903107197,287.4757766,69.81422797,13.20340012,0.18912191,11266.41047
Ashland West,AW,H3D-N,264.7014925,0.396551724,8.061681636,355.8388278,74.62596939,11.81124589,0.158272596,8761.760844
Ashland West,AW,H4A-N,443,0.545,9.018015352,153.338305,89.20028425,23.44963196,0.262887413,1467.126996
Ashland West,AW,H4B-N,355.8125,0.480416667,11.03260816,271.3156061,107.3597698,25.78878486,0.240209018,4220.679114
Ashland West,AW,H4C-N,334.0555556,0.415142857,9.443225557,348.0265544,91.16530229,18.86730122,0.206957041,4360.343915
Ashland West,AW,H4D-N,317.244898,0.426590909,9.368018896,292.0608472,71.18299355,13.88056012,0.194998263,5147.923699
Ashland West,AW,HS1B-N,266,0.132,9.777932217,206.881299,29.52003563,2.785914937,0.094373698,374.6665403
Ashland West,AW,HS2A-N,347.6666667,0.392222222,7.009164261,297.1073953,76.74803194,15.8253513,0.20619879,877.6309488
Ashland West,AW,HS2B-N,346.2307692,0.457692308,7.406904333,514.2863818,90.7255982,12.41619598,0.136854385,768.5931839
Ashland West,AW,HS2C-N,290.625,0.162,8.003466638,343.1831346,47.62098801,2.891750058,0.060724277,931.0136958
Ashland West,AW,HS3A-N,360.8181818,0.445454545,10.63083578,360.8552647,99.55777287,22.35977679,0.22459097,493.1864491
Ashland West,AW,HS3B-N,382.2,0.356,10.28451581,267.5517016,89.24884858,21.73685881,0.243553381,1399.751583
Ashland West,AW,HS3C-N,328.9,0.372244898,10.40066847,313.1727584,87.69831294,17.56730252,0.200315171,6184.379625
Ashland West,AW,HS3D-N,310.4880952,0.39875,7.789542449,408.5661817,84.78186588,13.45955902,0.158755164,7926.064116
Ashland West,AW,HS4A-N,353,0.375,10.08733377,281.7762925,81.53969902,18.64460142,0.228656736,538.9563687
Ashland West,AW,HS4B-N,345.3157895,0.432105263,10.64099766,249.9892722,107.6628414,28.15061181,0.261470081,1493.053026
Ashland West,AW,HS4C-N,358.7777778,0.485185185,10.38783563,299.8110711,107.9082392,25.41366589,0.235511821,2302.058236
Ashland West,AW,HS4D-N,324.2068966,0.348461538,8.979981929,336.2086258,66.07984923,10.45939969,0.158284255,2332.177251
Ashland West,AW,S1A-N,337,0.414615385,7.104762859,365.2103592,53.95785192,6.068659403,0.112470367,1675.035052
Ashland West,AW,S1A-P,331.2222222,0.496666667,6.076645237,948.1894174,139.6385394,16.13422561,0.115542784,527.4385281
Ashland West,AW,S1B-N,299.8421053,0.25,8.360072478,301.7437794,40.01860461,3.969678826,0.099195833,2247.671525
Ashland West,AW,S1B-P,334.8666667,0.317307692,6.972304767,374.0404122,69.47867887,11.15867567,0.160605755,2624.070622
Ashland West,AW,S1C-N,322.8571429,0.21375,7.280676586,165.1072805,25.63394558,2.691513434,0.104998016,1798.90526
Ashland West,AW,S1C-P,283,0.2,7.32470232,361.9645333,62.18392671,6.267543971,0.100790418,129.2370816
Ashland West,AW,S1D-N,284.2,0.02,23.89999962,29.27281524,5.391884106,0.529858398,0.098269619,378.1124073
Ashland West,AW,S1D-P,295,0.03,9.399999619,8.300212014,4.526935632,1.192803264,0.26349022,96.37008085
Ashland West,AW,S2A-N,361.24,0.5108,7.682572861,539.2776013,103.9913673,18.09457945,0.174000784,1225.069354
Ashland West,AW,S2A-P,395,0.601666667,8.578455067,745.0723205,122.7085524,14.38365198,0.117218007,116.0401046
Ashland West,AW,S2B-N,287.8461538,0.34,7.313566248,352.7020851,57.64411794,5.207248732,0.090334433,789.4623683
Ashland West,AW,S2B-P,387,0.53,6.474333521,718.2186475,125.8220086,16.03815347,0.127466996,70.52235436
Ashland West,AW,S2C-N,320.3636364,0.397222222,7.475165724,361.8284048,66.71977578,8.997899235,0.134861053,2027.29356
Ashland West,AW,S2C-P,350.6363636,0.488181818,6.035686173,898.5380567,140.9745524,14.62822228,0.103764985,791.3445925
Ashland West,AW,S3A-N,371.7083333,0.690869565,8.902756568,582.5893418,159.6963691,31.84572295,0.199414195,3357.423082
Ashland West,AW,S3B-N,391.1818182,0.626363636,9.011716866,479.9606609,148.8701803,30.23277136,0.203081445,2508.33048
Ashland West,AW,S3B-P,342,0.135,6.934128101,118.176759,34.45067352,7.376844884,0.214127741,462.2975674
Ashland West,AW,S3C-N,344.2068966,0.58,7.983344272,455.2386213,120.1689585,25.6565904,0.213504309,4879.083238
Ashland West,AW,S3C-P,335.75,0.47,6.51024616,648.974053,136.981853,25.86287077,0.188805088,668.8338493
Ashland West,AW,S3D-N,346.6170213,0.440833333,7.915465553,350.1072864,65.06435498,9.829462483,0.151072926,6085.819916
Ashland West,AW,S3D-P,269.1428571,0.322857143,6.821392364,391.7077334,70.20806268,11.04248865,0.157282344,627.317692
Ashland West,AW,S4A-N,408.8125,0.435,9.359798058,341.3832244,121.9115221,25.52722666,0.20939142,2512.315657
Ashland West,AW,S4B-N,321.6590909,0.471627907,10.95401486,338.769657,141.963475,32.47556133,0.228759977,5032.538943
Ashland West,AW,S4C-N,379.5,0.482666667,10.65096288,326.6160497,103.2469444,23.16914155,0.224405106,2633.618757
Ashland West,AW,S4C-P,0,0.59,6.20064533,684.2871637,129.7917471,17.71855229,0.136515246,54.30339527
Ashland West,AW,S4D-N,346.4242424,0.439166667,8.219939957,396.7353942,72.63284078,9.788792448,0.134770888,7640.643254
Ashland West,AW,S4D-P,399.3,0.525789474,6.648792352,628.136476,133.9923383,25.1702796,0.187848648,850.9030718
Ashland West,AW,SH1A-N,358.7222222,0.393333333,6.980375799,376.9354468,75.27456781,11.70960346,0.155558561,185.4502785
Ashland West,AW,SH1A-P,0,0.43,6.359644405,454.7708052,76.24577689,7.787094206,0.102131482,44.14981421
Ashland West,AW,SH1B-N,316.2222222,0.42,6.162956669,197.8275113,28.74729416,3.110078976,0.108186842,434.780914
Ashland West,AW,SH1C-N,177,0.225,6.12718931,90.5446141,18.00762978,1.72785902,0.095951496,281.2512673
Ashland West,AW,SH2A-N,343.1764706,0.463125,7.737498557,556.1723259,84.45754547,10.46932048,0.123959564,1036.35629
Ashland West,AW,SH2B-N,309.3333333,0.528571429,6.113664988,478.6051331,73.97323315,7.108342909,0.096093446,635.3715765
Ashland West,AW,SH2C-N,340.5789474,0.291538462,8.410371392,284.4469608,58.58909979,8.392539521,0.143244043,1628.298972
Ashland West,AW,SH2C-P,322.3333333,0.28,6.091790471,479.1079288,66.90937822,6.632699291,0.099129591,30.78507364
Ashland West,AW,SH3A-N,376,0.542,8.974549456,292.817317,135.0294636,40.2296705,0.297932536,346.4091059
Ashland West,AW,SH3B-N,408,0.562,8.094369485,387.1705568,111.4549531,24.71486741,0.221747592,561.3612756
Ashland West,AW,SH3C-N,336.6071429,0.3624,8.833831832,290.2234923,78.0509394,16.37607721,0.209812686,2391.505983
Ashland West,AW,SH3D-N,335.6,0.374444444,7.515836975,338.2491423,73.96052758,12.62253682,0.170665857,3358.219956
